time,open,high,low,close,tick_volume,spread,real_volume
2023-06-22 18:00:00,29734.23,29950.37,29718.68,29777.04,2873,1392,0
2023-06-22 18:15:00,29777.79,29839.69,29695.79,29734.27,2799,792,0
2023-06-22 18:30:00,29733.26,29838.79,29659.48,29822.14,2323,768,0
2023-06-22 18:45:00,29822.09,29892.6,29791.19,29861.54,2344,572,0
2023-06-22 19:00:00,29859.95,29989.29,29833.99,29963.77,2335,792,0
2023-06-22 19:15:00,29964.79,30108.79,29885.95,30100.29,2064,792,0
2023-06-22 19:30:00,30101.29,30184.61,30019.59,30023.04,2598,792,0
2023-06-22 19:45:00,30025.0,30025.05,29888.57,29980.41,2753,792,0
2023-06-22 20:00:00,29980.2,29995.7,29892.65,29961.44,2459,792,0
2023-06-22 20:15:00,29961.61,30052.29,29954.54,30019.51,1929,768,0
2023-06-22 20:30:00,30020.98,30150.8,29995.11,30134.47,2491,13,0
2023-06-22 20:45:00,30134.41,30191.68,30103.88,30151.9,2277,610,0
2023-06-22 21:00:00,30155.85,30166.74,30037.13,30090.77,2008,792,0
2023-06-22 21:15:00,30090.77,30093.48,30026.73,30044.8,1738,686,0
2023-06-22 21:30:00,30045.3,30130.57,29968.39,30039.45,1910,792,0
2023-06-22 21:45:00,30032.67,30161.29,30025.61,30147.29,1850,659,0
2023-06-22 22:00:00,30147.29,30162.87,30053.81,30070.42,2327,547,0
2023-06-22 22:15:00,30067.19,30125.47,30056.69,30066.45,1735,650,0
2023-06-22 22:30:00,30067.04,30187.62,30064.84,30179.79,2332,642,0
2023-06-22 22:45:00,30178.98,30252.54,30137.24,30224.14,1635,792,0
2023-06-22 23:00:00,30224.35,30277.16,30143.26,30205.33,1906,792,0
2023-06-22 23:15:00,30205.41,30214.2,30079.64,30102.95,1736,783,0
2023-06-22 23:30:00,30102.61,30151.87,30096.86,30137.61,1573,0,0
2023-06-22 23:45:00,30137.61,30170.72,30121.81,30160.62,760,792,0
2023-06-23 00:00:00,30062.29,30162.29,30062.29,30127.14,710,792,0
2023-06-23 00:15:00,30127.97,30134.79,30003.04,30012.47,1547,792,0
2023-06-23 00:30:00,30013.23,30055.29,29958.29,29973.67,1049,792,0
2023-06-23 00:45:00,29974.03,30086.91,29967.29,30051.59,1004,793,0
2023-06-23 01:00:00,30051.59,30082.19,30003.62,30024.96,2302,755,0
2023-06-23 01:15:00,30024.93,30085.29,29988.99,30038.29,1762,792,0
2023-06-23 01:30:00,30038.33,30054.79,29988.64,30024.04,1282,792,0
2023-06-23 01:45:00,30025.81,30033.18,29879.77,29938.79,2546,792,0
2023-06-23 02:00:00,29939.22,29975.89,29898.77,29949.22,1756,792,0
2023-06-23 02:15:00,29949.79,29997.79,29949.79,29985.04,1059,792,0
2023-06-23 02:30:00,29985.79,30001.07,29947.29,29952.11,869,792,0
2023-06-23 02:45:00,29952.56,29978.54,29880.29,29882.48,1583,792,0
2023-06-23 03:00:00,29884.79,30001.33,29870.3,29997.54,1824,792,0
2023-06-23 03:15:00,29998.54,30052.54,29978.67,30017.29,1762,792,0
2023-06-23 03:30:00,30015.29,30060.18,29988.33,30011.09,1440,753,0
2023-06-23 03:45:00,30010.59,30031.65,29979.04,30013.21,1923,792,0
2023-06-23 04:00:00,30014.85,30033.46,29978.86,30019.54,1713,792,0
2023-06-23 04:15:00,30019.69,30051.38,29993.76,30040.78,816,792,0
2023-06-23 04:30:00,30039.09,30041.04,29982.29,29997.45,901,460,0
2023-06-23 04:45:00,29997.45,30005.6,29924.96,29934.86,1126,792,0
2023-06-23 05:00:00,29937.58,29941.59,29789.69,29878.12,2292,792,0
2023-06-23 05:15:00,29878.79,29929.55,29846.03,29924.46,1813,792,0
2023-06-23 05:30:00,29923.54,29974.29,29910.15,29966.1,1570,792,0
2023-06-23 05:45:00,29966.29,29988.57,29942.6,29984.77,980,792,0
2023-06-23 06:00:00,29985.08,30004.56,29977.69,29991.99,801,792,0
2023-06-23 06:15:00,29993.29,30024.38,29979.44,30013.08,1398,792,0
2023-06-23 06:30:00,30011.88,30036.79,29997.79,30009.16,2060,792,0
2023-06-23 06:45:00,30011.07,30033.29,30003.79,30014.85,1688,792,0
2023-06-23 07:00:00,30014.95,30045.38,30009.42,30027.61,897,792,0
2023-06-23 07:15:00,30027.47,30072.89,30017.13,30020.29,1437,792,0
2023-06-23 07:30:00,30020.29,30063.44,30020.29,30059.2,1102,792,0
2023-06-23 07:45:00,30059.2,30094.56,30003.29,30014.42,1081,792,0
2023-06-23 08:00:00,30014.67,30041.82,29994.62,30008.92,1013,792,0
2023-06-23 08:15:00,30008.64,30057.57,29962.8,30051.29,1173,792,0
2023-06-23 08:30:00,30051.29,30075.86,30046.35,30054.29,978,792,0
2023-06-23 08:45:00,30054.29,30054.85,30029.91,30046.39,665,792,0
2023-06-23 09:00:00,30046.09,30067.76,30024.34,30063.54,809,792,0
2023-06-23 09:15:00,30063.68,30072.29,30032.89,30045.79,830,792,0
2023-06-23 09:30:00,30045.29,30048.19,29996.95,30019.79,1002,724,0
2023-06-23 09:45:00,30019.79,30031.62,29971.77,30016.23,1936,792,0
2023-06-23 10:00:00,30015.97,30019.65,29951.22,29978.05,1942,588,0
2023-06-23 10:15:00,29980.44,29993.29,29939.24,29988.54,2110,527,0
2023-06-23 10:30:00,29983.79,30009.74,29951.56,29953.21,1857,792,0
2023-06-23 10:45:00,29952.24,29967.79,29919.95,29938.29,1538,505,0
2023-06-23 11:00:00,29938.27,29958.66,29907.69,29957.26,1799,792,0
2023-06-23 11:15:00,29957.26,30041.54,29955.69,30034.27,1851,792,0
2023-06-23 11:30:00,30029.51,30043.83,30006.61,30022.19,1870,792,0
2023-06-23 11:45:00,30022.91,30057.15,30016.76,30017.29,1407,792,0
2023-06-23 12:00:00,30016.79,30030.5,29983.31,30030.1,1624,792,0
2023-06-23 12:15:00,30029.54,30041.75,29987.9,29995.76,1999,792,0
2023-06-23 12:30:00,29995.04,30003.04,29969.75,29994.36,2310,590,0
2023-06-23 12:45:00,29995.17,30181.6,29977.63,30150.29,1731,490,0
2023-06-23 13:00:00,30149.79,30199.79,30083.08,30125.04,2013,775,0
2023-06-23 13:15:00,30125.04,30162.29,29926.12,30031.29,1922,792,0
2023-06-23 13:30:00,30032.29,30083.29,30025.57,30062.79,1431,718,0
2023-06-23 13:45:00,30062.29,30126.22,30059.82,30089.78,1556,743,0
2023-06-23 14:00:00,30091.0,30128.25,30065.46,30112.54,1944,792,0
2023-06-23 14:15:00,30111.23,30112.19,30036.95,30055.32,2077,792,0
2023-06-23 14:30:00,30053.33,30109.03,30049.44,30085.71,2124,752,0
2023-06-23 14:45:00,30085.71,30166.22,30077.35,30154.72,1619,592,0
2023-06-23 15:00:00,30157.23,30234.73,30134.79,30180.34,2301,792,0
2023-06-23 15:15:00,30181.57,30227.54,30067.19,30093.44,1908,792,0
2023-06-23 15:30:00,30095.29,30120.79,29992.3,30041.93,2127,693,0
2023-06-23 15:45:00,30045.32,30132.79,30027.29,30100.55,2562,652,0
2023-06-23 16:00:00,30104.29,30194.29,30096.32,30154.79,2476,574,0
2023-06-23 16:15:00,30156.29,30157.79,30081.65,30114.73,2263,792,0
2023-06-23 16:30:00,30113.98,30148.75,30061.27,30130.74,2432,143,0
2023-06-23 16:45:00,30130.74,30145.79,29904.31,30087.34,2826,740,0
2023-06-23 17:00:00,30083.49,30118.56,30017.82,30072.95,2293,715,0
2023-06-23 17:15:00,30072.1,30177.18,30063.16,30156.29,2730,0,0
2023-06-23 17:30:00,30156.29,30186.11,30099.36,30171.32,1987,792,0
2023-06-23 17:45:00,30169.23,30348.17,30150.61,30296.29,2406,0,0
2023-06-23 18:00:00,30295.38,30495.59,30237.82,30423.15,3087,792,0
2023-06-23 18:15:00,30418.72,30961.57,30403.07,30650.29,2928,1020,0
2023-06-23 18:30:00,30651.29,30995.83,30599.29,30824.35,2941,300,0
2023-06-23 18:45:00,30821.35,31421.29,30771.65,31236.79,2540,792,0
2023-06-23 19:00:00,31232.71,31417.16,31055.94,31392.91,2737,592,0
2023-06-23 19:15:00,31391.91,31399.24,30655.79,30926.83,2861,933,0
2023-06-23 19:30:00,30926.61,30996.79,30823.24,30917.6,3166,810,0
2023-06-23 19:45:00,30909.99,31171.13,30848.18,31106.09,3053,1292,0
2023-06-23 20:00:00,31108.6,31202.23,31014.87,31172.23,2979,1377,0
2023-06-23 20:15:00,31174.79,31258.04,31050.14,31120.21,2322,792,0
2023-06-23 20:30:00,31120.21,31209.79,31013.23,31202.54,2772,792,0
2023-06-23 20:45:00,31202.04,31288.25,31139.43,31244.98,2798,352,0
2023-06-23 21:00:00,31244.97,31275.29,31119.99,31134.75,2973,792,0
2023-06-23 21:15:00,31127.82,31133.62,30936.21,30994.93,2616,792,0
2023-06-23 21:30:00,31000.29,31051.44,30897.24,30965.79,2806,793,0
2023-06-23 21:45:00,30966.01,30989.87,30888.97,30961.29,2316,767,0
2023-06-23 22:00:00,30961.29,30968.79,30852.48,30913.33,3024,452,0
2023-06-23 22:15:00,30914.26,30969.44,30847.17,30906.12,2902,792,0
2023-06-23 22:30:00,30906.62,30936.82,30617.13,30803.81,2994,792,0
2023-06-23 22:45:00,30803.45,30926.98,30758.42,30902.79,2871,792,0
